title,url,price
Tesco Granulated Sugar 1Kg,/groceries/en-IE/products/256210549,€1.59
Tesco Italian Finely Chopped Tomatoes 400G,/groceries/en-IE/products/254757959,€0.55
Tesco Cream Crackers 300G,/groceries/en-IE/products/300112569,€0.55
Tesco Rice Cakes Milk Chocolate 105G,/groceries/en-IE/products/305973297,€0.75
Tesco Bourbon Creams Biscuits 296G,/groceries/en-IE/products/290329100,€0.60
Tesco Wheat Biscuits 36,/groceries/en-IE/products/289491021,€2.69
Tesco Fusilli Pasta Twists 1Kg,/groceries/en-IE/products/254878499,€1.19
Tesco Sieved Tomatoes Passata 500G Ce,/groceries/en-IE/products/254874296,€1.10
Tesco Basmati Rice 1Kg,/groceries/en-IE/products/254877477,€1.19
Tesco Squeezy Honey 340G,/groceries/en-IE/products/274088885,€1.55
Weetabix 48Pk,/groceries/en-IE/products/254853004,€6.99
Tesco Custard Cream Biscuits 400G,/groceries/en-IE/products/254921258,€0.70
Pringles Sour Cream & Onion Crisps 165G,/groceries/en-IE/products/308870356,€3.49
Tayto Crisps Cheese & Onion 6 X 25G,/groceries/en-IE/products/250848311,€2.70
Tesco Rich Tea Biscuit 300G,/groceries/en-IE/products/295229307,€0.49
Tesco Tomato Puree Tube 200G,/groceries/en-IE/products/254879475,€1.45
Cadbury Dairy Milk For Kids 6 Pack 108G,/groceries/en-IE/products/290337849,€1.85
Tesco Chickpeas In Water 400G,/groceries/en-IE/products/262490576,€0.45
Kit Kat 2 Finger Milk Chocolate Biscuits 9 Pack 186.3G,/groceries/en-IE/products/297556924,€2.79
Tesco Baked Beans In Tomato Sauce 420G,/groceries/en-IE/products/258510116,€0.55
Flahavans Porridge Oats 1.5Kg,/groceries/en-IE/products/250436833,€2.99
Tesco Rice Snaps Cereal 375G,/groceries/en-IE/products/285364305,€1.19
Tesco Spaghetti Pasta 1Kg,/groceries/en-IE/products/254878424,€1.19
Grower's Harvest Chopped Tomatoes 400G,/groceries/en-IE/products/299768716,€0.39
Barry's Tea Gold Blend 80 Teabags 250G,/groceries/en-IE/products/255818944,€3.80
Cadbury Dairy Milk Caramel Chocolate Bars Multipack 4 X 37g,/groceries/en-IE/products/292215265,€2.00
Tesco Cornflakes Cereal 500G,/groceries/en-IE/products/254842766,€1.19
Tesco Pasta Quills 1Kg,/groceries/en-IE/products/253167098,€1.19
Batchelors Baked Beans 3X225g,/groceries/en-IE/products/260329162,€2.99
Heinz Top Down Squeezy Tomato Ketchup Sauce 460G,/groceries/en-IE/products/250167878,€4.60
Cadbury Twirl 5 Pack 107.5G (R),/groceries/en-IE/products/292560581,€1.79
Tesco Jam Sandwich Creams Biscuit 150G,/groceries/en-IE/products/265201408,€0.75
Ritz Crackers 200G,/groceries/en-IE/products/254925421,€1.99
Tesco Microwave Basmati Rice 250G,/groceries/en-IE/products/251680648,€0.90
Tesco Milk Chocolate Digestives 300G Price Marked,/groceries/en-IE/products/255769333,€0.70
Tesco Italian Chopped Tomatoes 400G Ce,/groceries/en-IE/products/251825089,€1.05
Tayto Crisps Cheese Plus Onion 12 X 25G,/groceries/en-IE/products/250848518,€4.19
Tayto Popcorn 6 Pack Flashed 20G,/groceries/en-IE/products/300017279,€2.00
Tesco Crunchy Caramel Chocolate Bars Multipack 5 X 42g,/groceries/en-IE/products/300876973,€1.20
Tesco Jaffa Cakes Twin Pack 282G,/groceries/en-IE/products/300795325,€1.50
Pringles Salt & Vinegar Crisps 165G,/groceries/en-IE/products/308832114,€3.49
Manhattan Popcorn 12 Pack 15G X 12,/groceries/en-IE/products/256810156,€4.69
Tesco Lightly Salted Tortilla Chips 200G,/groceries/en-IE/products/250057901,€0.85
Tesco 6 Pack Mini Breadsticks 120G,/groceries/en-IE/products/272651665,€1.50
Tesco Multigrain Hoops Cereal 375G,/groceries/en-IE/products/256455294,€1.69
Ms Molly's Chocolate Digestives Biscuits 300G,/groceries/en-IE/products/299598986,€0.60
Nutella Hazelnut & Chocolate Spread 630G,/groceries/en-IE/products/308117748,€4.39
Cadbury Snack Cake 6 Pack 120G,/groceries/en-IE/products/301516229,€1.79
Tesco Salt & Vinegar Rice Cakes 130G,/groceries/en-IE/products/309175544,€1.00
Tesco Pure Vegetable Oil 1L,/groceries/en-IE/products/254918067,€1.55
Tesco Cheese & Onion Crisps 6X25g,/groceries/en-IE/products/254926725,€1.35
Tesco Dreamy Caramel Chocolate Bars Multipack 6 X 40g,/groceries/en-IE/products/300876915,€1.20
Cadbury Snack Sandwich 6 Pack 132G,/groceries/en-IE/products/281318333,€3.49
Cheerios Multigrain Cereal 390G,/groceries/en-IE/products/308488819,€4.30
Tesco Extra Virgin Olive Oil 1Ltr,/groceries/en-IE/products/254516076,€4.30
Kellogg's Rice Krispie Squares Marshmallow 4 X 28G,/groceries/en-IE/products/250202649,€2.85
Tesco Boil In The Bag Basmati Rice 4 X 125G,/groceries/en-IE/products/251442835,€0.85
Tesco Bolognese Pasta Sauce Jar 500G,/groceries/en-IE/products/257797970,€0.80
Hellmann's Real Mayonnaise 400G Jar,/groceries/en-IE/products/254884606,€3.49
Stockwell & Co Tuna Chunks In Brine 145G,/groceries/en-IE/products/300535536,€0.63
Tesco Red Kidney Beans 400G,/groceries/en-IE/products/259061829,€0.75
Growers Harvest Tomato Puree 200G,/groceries/en-IE/products/310093518,€0.79
Tayto Snax 6X17g,/groceries/en-IE/products/250842415,€2.85
Blue Dragon Coconut Milk 400Ml,/groceries/en-IE/products/252486194,€2.05
Cadbury Dairy Milk Giant Buttons Chocolate Bag 119G,/groceries/en-IE/products/285383766,€2.50
Tesco Pure Sunflower Oil 1L,/groceries/en-IE/products/254918228,€1.75
Tesco Natural Sweet Sweetcorn In Water 200G,/groceries/en-IE/products/252695430,€0.75
Tesco Caster Sugar 1Kg,/groceries/en-IE/products/252869148,€1.75
Nature Valley Protein Peanut & Chocolate Bars 4X40g,/groceries/en-IE/products/293837253,€3.99
Growers Harvest Sweetcorn 325G,/groceries/en-IE/products/310182373,€0.30
Tesco Fusilli Pasta 500G,/groceries/en-IE/products/254878545,€0.70
Tesco Choco Snaps 375G,/groceries/en-IE/products/305971218,€0.79
Tesco Low Fat Special Flake Cereal 500G,/groceries/en-IE/products/261084828,€1.29
Flahavans Organic Porridge Oatlets 1Kg,/groceries/en-IE/products/251980520,€2.79
Pringles Original Crisps 165G,/groceries/en-IE/products/308856092,€3.49
Kellogg's Rice Krispies 510G,/groceries/en-IE/products/268146394,€5.15
Cadbury Curly Wurly 5 Pack 107.5G,/groceries/en-IE/products/311679994,€1.39
Tesco Cool Tortilla Chips 200G,/groceries/en-IE/products/250057918,€0.85
Tesco Mayonnaise 450Ml,/groceries/en-IE/products/305438880,€1.08
Nature Valley Oats And Honey Special Value 20 Pack,/groceries/en-IE/products/280448284,€6.00
Jacobs Cream Crackers 200G,/groceries/en-IE/products/260038391,€1.69
Batchelors No Added Sugar Bakd Beans 225G 3 Pack,/groceries/en-IE/products/268404469,€2.99
Weetabix Cereal 24 Pack,/groceries/en-IE/products/254852996,€4.29
Batchelors Baked Beans 4 X 420G,/groceries/en-IE/products/258765102,€4.25
Tuc Snack Packs 250G,/groceries/en-IE/products/262258363,€4.25
Tesco Onion & Garlic Pasta Sauce 500G,/groceries/en-IE/products/257798116,€0.80
